Name,%GC,Exonic Rate,Sequences flagged as poor quality,rRNA rate,Fragment Length Mean,Intronic Rate,Intergenic Rate,Mapping Rate,Quality format,Duplication Rate of Mapped,Mapped,rRNA,Sequence length,Transcripts Detected,5'-3' bias,Mean Per Base Cov.,Genes Detected,sampletype,cell
Young_9,51,0.04520000144839287,0,0.0,0.0,0.5932000279426575,0.36160001158714294,1.1555168748600408E-4,standard,0.06779699772596359,177,0.0,25-75,0,NaN,0,0,Young,9
Young_63,50,0.4406000077724457,0,4.367508154246025E-6,24.0,0.3546000123023987,0.20469999313354492,0.07511022686958313,standard,0.038352999836206436,68790,4.0,25-75,0,1.0499999523162842,0,0,Young,63
Old_100,45,0.44519999623298645,0,0.0,58.0,0.461899995803833,0.09290000051259995,0.7938369512557983,standard,0.06777700036764145,1730478,0.0,25-75,0,1.1399999856948853,0,0,Old,100
Old_101,41,0.5358999967575073,0,0.0,50.0,0.3012000024318695,0.16300000250339508,0.7588459253311157,standard,0.2519949972629547,3392772,0.0,25-75,0,1.1699999570846558,0,0,Old,101
Old_102,41,0.27149999141693115,0,1.1656179412966594E-4,53.0,0.6304000020027161,0.0982000008225441,0.7175570130348206,standard,0.28169798851013184,4949442,804.0,25-75,0,2.390000104904175,0,0,Old,102
Old_103,40,0.3357999920845032,0,1.2570615581353195E-5,54.0,0.5479000210762024,0.11640000343322754,0.8078339099884033,standard,0.24990199506282806,5269621,82.0,25-75,0,1.309999942779541,0,0,Old,103
Old_79,48,0.45159998536109924,0,5.270960173220374E-6,50.0,0.4113999903202057,0.13699999451637268,0.24672047793865204,standard,0.12856599688529968,187230,4.0,25-75,0,1.5299999713897705,0,0,Old,79
Old_78,48,0.39910000562667847,0,0.0,25.0,0.49050000309944153,0.1103999987244606,0.36738845705986023,standard,0.053693000227212906,248208,0.0,25-75,0,1.2899999618530273,0,0,Old,78
Old_106,49,0.5199999809265137,0,0.0,0.0,0.3555999994277954,0.12439999729394913,0.49028992652893066,standard,0.01951500028371811,28579,0.0,25-75,0,1.3700000047683716,0,0,Old,106
Old_107,46,0.6671000123023987,0,0.0,60.0,0.21580000221729279,0.11710000038146973,0.7715840935707092,standard,0.09565600007772446,1869022,0.0,25-75,0,1.0700000524520874,0,0,Old,107
Old_75,47,0.4228000044822693,0,0.0,50.0,0.48080000281333923,0.09650000184774399,0.19262278079986572,standard,0.06569500267505646,221417,0.0,25-75,0,1.2300000190734863,0,0,Old,75
Old_74,47,0.5322999954223633,0,5.746201622969238E-6,0.0,0.3116999864578247,0.1559000015258789,0.2177317887544632,standard,0.1312679946422577,265240,7.0,25-75,0,1.309999942779541,0,0,Old,74
Old_77,50,0.4311999976634979,0,0.0,0.0,0.310699999332428,0.2581000030040741,0.01079470757395029,standard,0.034915000200271606,5533,0.0,25-75,0,1.0299999713897705,0,0,Old,77
Old_76,49,0.4521999955177307,0,0.0,55.0,0.41519999504089355,0.13259999454021454,0.1410023421049118,standard,0.04504600167274475,126291,0.0,25-75,0,1.090000033378601,0,0,Old,76
Old_71,43,0.35760000348091125,0,4.616123305822839E-7,53.0,0.5131999850273132,0.12919999659061432,0.41752925515174866,standard,0.33271899819374084,904502,1.0,25-75,0,1.940000057220459,0,0,Old,71
Old_70,44,0.46050000190734863,0,0.0,57.0,0.41370001435279846,0.1257999986410141,0.37926816940307617,standard,0.305992990732193,648497,0.0,25-75,0,1.7000000476837158,0,0,Old,70
Old_73,42,0.3416000008583069,0,4.320060270401882E-6,53.0,0.5083000063896179,0.1500999927520752,0.44646474719047546,standard,0.3472760021686554,826775,8.0,25-75,0,1.6799999475479126,0,0,Old,73
Old_72,48,0.7121999859809875,0,0.0,0.0,0.251800000667572,0.035999998450279236,9.942832548404112E-5,standard,0.22556400299072266,139,0.0,25-75,0,NaN,0,0,Old,72
Young_98,51,0.17710000276565552,0,0.0,61.0,0.3910999894142151,0.4318999946117401,0.05786123499274254,standard,0.21384599804878235,240507,0.0,25-75,0,NaN,0,0,Young,98
Young_99,50,0.47690001130104065,0,0.0,59.0,0.06030000001192093,0.462799996137619,0.1135719045996666,standard,0.44447600841522217,505257,0.0,25-75,0,NaN,0,0,Young,99
Young_94,51,0.289900004863739,0,0.0,106.0,0.026100000366568565,0.6840000152587891,0.024699024856090546,standard,0.2651180028915405,75324,0.0,25-75,0,8.6899995803833,0,0,Young,94
Young_95,51,0.18230000138282776,0,0.0,137.0,0.05130000039935112,0.7663999795913696,0.026545114815235138,standard,0.26204898953437805,77829,0.0,25-75,0,13.010000228881836,0,0,Young,95
Young_51,50,0.44519999623298645,0,0.0,56.0,0.39989998936653137,0.15489999949932098,0.11456301808357239,standard,0.05302000045776367,119349,0.0,25-75,0,2.059999942779541,0,0,Young,51
Young_97,46,0.4442000091075897,0,6.844138624728657E-7,85.0,0.06419999897480011,0.49160000681877136,0.3062145709991455,standard,0.5843799710273743,2237057,5.0,25-75,0,2.3499999046325684,0,0,Young,97
Young_90,46,0.2840000092983246,0,0.0,0.0,0.14419999718666077,0.5717999935150146,0.3774387538433075,standard,0.3462370038032532,1854243,0.0,25-75,0,1.6399999856948853,0,0,Young,90
Young_91,46,0.47510001063346863,0,0.0,83.0,0.021700000390410423,0.5031999945640564,0.30015456676483154,standard,0.6139569878578186,1120766,0.0,25-75,0,1.8799999952316284,0,0,Young,91
Young_92,48,0.43939998745918274,0,0.0,65.0,0.07320000231266022,0.48739999532699585,0.2489091008901596,standard,0.44823700189590454,639783,0.0,25-75,0,1.2300000190734863,0,0,Young,92
Young_93,46,0.10010000318288803,0,1.9645131033030339E-7,52.0,0.3465999960899353,0.5533000230789185,0.47699183225631714,standard,0.20138399302959442,2428041,1.0,25-75,0,NaN,0,0,Young,93
Young_38,44,0.34779998660087585,0,0.0,75.0,0.46700000762939453,0.18520000576972961,0.347515732049942,standard,0.36208900809288025,849016,0.0,25-75,0,3.190000057220459,0,0,Young,38
Young_39,42,0.4083000123500824,0,0.0,52.0,0.4537999927997589,0.1378999948501587,0.49355223774909973,standard,0.4030739963054657,1495217,0.0,25-75,0,1.5199999809265137,0,0,Young,39
